Rk,Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
1,Ichiro Suzuki\suzukic01,19,2001,2019,10,2653,10734,9934,1420,3089,362,96,117,780,509,117,647,1080,.311,.355,.402,.757,59.70,Oct 22 1973,Apr 2 2001,Nichi Kasugai-gun Aichi,*9*87D/1
2,Yu Darvish\darviyu01,7,2012,2019,4,53,110,99,2,10,2,0,1,4,0,0,3,58,.101,.126,.152,.278,22.35,Aug 16 1986,Apr 9 2012,Habikino Osaka,1
3,Hideki Matsui\matsuhi01,10,2003,2012,2,1236,5066,4442,656,1253,249,12,175,760,13,9,547,689,.282,.360,.462,.822,21.23,Jun 12 1974,Mar 31 2003,Nomi Ishikawa,*7*D8/9
4,Hideo Nomo\nomohi01,12,1995,2008,1,233,543,485,22,65,14,1,4,26,0,0,13,222,.134,.156,.192,.348,20.93,Aug 31 1968,May 2 1995,Osaka Osaka,*1
5,Hiroki Kuroda\kurodhi01,7,2008,2014,0,114,254,209,7,21,1,0,0,3,0,0,13,72,.100,.153,.105,.258,20.88,Feb 10 1975,Apr 4 2008,Osaka Osaka,1
6,Hisashi Iwakuma\iwakuhi01,6,2012,2017,1,9,15,11,0,0,0,0,0,0,0,0,1,8,.000,.083,.000,.083,16.85,Apr 12 1981,Apr 20 2012,Higashi Yamato Tokyo,1
7,Masahiro Tanaka\tanakma01,6,2014,2019,2,13,29,27,1,1,0,0,0,0,0,0,1,12,.037,.071,.037,.108,16.78,Nov 1 1988,Apr 4 2014,Itami Hyogo,1
8,Koji Uehara\ueharko01,9,2009,2017,1,66,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,13.50,Apr 3 1975,Apr 8 2009,Neyagawa Osaka,*1
9,Shigetoshi Hasegawa\hasegsh01,9,1997,2005,1,32,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,11.56,Aug 1 1968,Apr 5 1997,Kobe Hyogo,*1
10,Tomo Ohka\ohkato01,10,1999,2009,0,139,276,240,8,33,2,0,0,15,1,0,10,95,.138,.172,.146,.318,11.29,Mar 18 1976,Jul 19 1999,Kyoto Kyoto,1
11,Takashi Saito\saitota01,7,2006,2012,1,276,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,10.50,Feb 14 1970,Apr 9 2006,Sendai Miyagi,*1
12,Nori Aoki\aokino01,6,2012,2017,0,758,3044,2716,377,774,135,22,33,219,98,44,234,258,.285,.350,.387,.738,10.41,Jan 5 1982,Apr 6 2012,Hyuga Miyazaki,*978/D1
13,Daisuke Matsuzaka\matsuda01,8,2007,2014,0,45,45,37,0,7,0,0,0,3,0,0,1,16,.189,.211,.189,.400,9.39,Sep 13 1980,Apr 5 2007,Tokyo Tokyo,1
14,Dave Roberts\roberda07,10,1999,2008,0,832,3092,2707,437,721,95,53,23,213,243,58,307,362,.266,.342,.366,.708,9.05,May 31 1972,Aug 7 1999,Naha Okinawa,*87/9D
15,Hideki Okajima\okajihi01,6,2007,2013,1,18,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,6.83,Dec 25 1975,Apr 2 2007,Kyoto Kyoto,1
16,Masato Yoshii\yoshima01,5,1998,2002,0,151,247,204,10,25,3,0,1,13,1,1,9,76,.123,.164,.152,.316,6.70,Apr 20 1965,Apr 5 1998,Arita-gun Wakayama,1
17,Akinori Otsuka\otsukak01,4,2004,2007,0,135,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,6.60,Jan 13 1972,Apr 6 2004,Chiba Chiba,1
18,Shohei Ohtani\ohtansh01,2,2018,2019,0,210,792,710,110,203,41,7,40,123,22,7,70,212,.286,.351,.532,.883,6.48,Jul 5 1994,Mar 29 2018,Oshu Iwate,D/1
19,Tadahito Iguchi\iguchta01,4,2005,2008,0,493,2079,1841,267,494,91,11,44,205,48,13,189,387,.268,.338,.401,.739,6.35,Dec 4 1974,Apr 4 2005,Tanashi Tokyo,*4/D
20,Kenta Maeda\maedake01,4,2016,2019,0,139,211,176,10,27,4,0,1,14,0,0,1,41,.153,.158,.193,.351,5.48,Apr 11 1988,Apr 6 2016,Senboku-gun Osaka,1
21,Kenji Johjima\johjike01,4,2006,2009,0,462,1722,1609,166,431,84,1,48,198,7,5,66,148,.268,.310,.411,.721,5.34,Jun 8 1976,Apr 3 2006,Sasebo Nagasaki,*2/D
22,Kazuo Matsui\matsuka01,7,2004,2010,0,630,2555,2302,330,615,124,20,32,211,102,18,179,403,.267,.321,.380,.701,5.31,Oct 23 1975,Apr 6 2004,Higashi-Osaka Osaka,*46
23,Akinori Iwamura\iwamuak01,4,2007,2010,0,408,1755,1545,222,413,74,22,16,117,32,16,183,330,.267,.345,.375,.720,4.52,Feb 9 1979,Apr 2 2007,Uwajima Ehime,45/D
24,Kosuke Fukudome\fukudko01,5,2008,2012,1,596,2276,1929,264,498,111,13,42,195,29,29,307,402,.258,.359,.395,.754,4.37,Apr 26 1977,Mar 31 2008,So-gun Kagoshima,*98/7D
25,Tsuyoshi Shinjo\shinjts01,3,2001,2003,0,303,960,876,98,215,41,4,20,100,9,6,55,128,.245,.299,.370,.668,3.87,Jan 28 1972,Apr 3 2001,Tsushima Nagasaki,879
26,Kazuhiro Sasaki\sasakka01,4,2000,2003,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.67,Feb 22 1968,Apr 5 2000,Sendai Miyagi,1
27,Hideki Irabu\irabuhi01,6,1997,2002,0,24,34,28,1,3,0,0,0,1,0,0,1,13,.107,.138,.107,.245,3.44,May 5 1969,Jul 10 1997,Hirara Hyogo,1
28,So Taguchi\tagucso01,8,2002,2009,0,672,1524,1369,197,382,74,7,19,163,39,12,102,195,.279,.332,.385,.717,2.17,Jul 2 1969,Jun 10 2002,Nishinomiya Hyogo,789/4D
29,Junichi Tazawa\tazawju01,9,2009,2018,0,90,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2.15,Jun 6 1986,Aug 7 2009,Yokohama Kanagawa,*1
30,Shingo Takatsu\takatsh01,2,2004,2005,0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.14,Nov 25 1968,Apr 9 2004,Hiroshima Hiroshima,1
31,Tsuyoshi Wada\wadats01,2,2014,2015,0,20,33,28,1,1,0,0,0,0,0,0,2,15,.036,.100,.036,.136,1.79,Feb 21 1981,Jul 8 2014,Izumo Shimane,/1
32,Munenori Kawasaki\kawasmu01,5,2012,2016,0,276,738,633,80,150,18,6,1,51,12,4,70,119,.237,.320,.289,.609,1.65,Jun 3 1981,Apr 7 2012,Aira-gun Kagoshima,46/5D
33,Masanori Murakami\murakma01,2,1964,1965,0,54,16,16,0,2,0,0,0,0,0,0,0,7,.125,.125,.125,.250,1.47,May 6 1944,Sep 1 1964,Kita Tsuru-gun Yamanashi,1
34,Kenshin Kawakami\kawakke01,2,2009,2010,0,50,80,65,2,7,1,0,0,1,0,0,6,22,.108,.183,.123,.306,1.00,Jun 22 1975,Apr 11 2009,Tokushima Tokushima,1
35,Hisanori Takahashi\takahhi01,4,2010,2013,0,71,20,16,0,1,0,0,0,0,0,0,0,3,.063,.063,.063,.125,0.78,Apr 2 1975,Apr 7 2010,Tokyo Tokyo,1
36,Keiichi Yabu\yabuke01,2,2005,2008,0,60,3,2,1,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0.76,Sep 28 1968,Apr 9 2005,Minami Muro-gun Mie,1
37,Yoshihisa Hirano\hiranyo01,2,2018,2019,0,126,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.63,Mar 8 1984,Mar 29 2018,Uji Kyoto,1
38,Yusei Kikuchi\kikucyu01,1,2019,2019,0,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.58,Jun 17 1991,Mar 21 2019,Morioka Iwate,1
39,Ken Takahashi\takahke01,1,2009,2009,0,26,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0.53,Apr 16 1969,May 2 2009,Yokohama Kanagawa,/1
40,Steve Chitren\chitrst01,2,1990,1991,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.36,Jun 8 1967,Sep 5 1990,Tokyo Tokyo,1
41,Kensuke Tanaka\tanakke01,1,2013,2013,0,15,34,30,4,8,0,0,0,2,2,0,4,3,.267,.353,.267,.620,0.33,May 20 1981,Jul 9 2013,Chikushino Fukuoka,/7
42,Kazuhito Tadano\tadanka01,2,2004,2005,0,2,3,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.26,Apr 25 1980,Apr 27 2004,Tokyo Tokyo,/1
43,Keith McDonald\mcdonke01,2,2000,2001,0,8,11,9,3,3,0,0,3,5,0,0,2,2,.333,.455,1.333,1.788,0.22,Feb 8 1973,Jul 4 2000,Yokosuka Kanagawa,/2
44,Takashi Kashiwada\kashita01,1,1997,1997,0,32,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0.13,May 14 1971,May 1 1997,Tokyo Tokyo,1
45,Steve Randolph\randost01,3,2003,2007,0,105,16,15,4,5,3,0,0,3,0,0,0,5,.333,.333,.533,.867,-0.09,May 1 1974,Mar 31 2003,Okinawa,1
46,Craig House\housecr01,1,2000,2000,0,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.14,Jul 8 1977,Aug 6 2000,Naha AFB Okinawa,/1
47,Jim Bowie\bowieji01,1,1994,1994,0,6,15,14,0,3,0,0,0,0,0,0,0,2,.214,.214,.214,.429,-0.15,Feb 17 1965,Aug 3 1994,Tokyo Tokyo,/3
48,Mac Suzuki\suzukma01,6,1996,2002,0,28,30,25,1,2,0,0,0,0,0,0,1,13,.080,.115,.080,.195,-0.15,May 31 1975,Jul 7 1996,Kobe Hyogo,1
49,Masahide Kobayashi\kobayma01,2,2008,2009,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.22,May 24 1974,Apr 2 2008,Otsuki Yamanashi,1
50,Toru Murata\muratto01,1,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.23,May 20 1985,Jun 28 2015,Osaka Osaka,/1
51,Kazuhisa Ishii\ishiika01,4,2002,2005,0,98,191,164,10,18,0,1,1,10,0,0,4,73,.110,.131,.140,.271,-0.34,Sep 9 1973,Apr 6 2002,Chiba Chiba,1
52,Kyuji Fujikawa\fujikky01,3,2013,2015,0,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.35,Jul 21 1980,Apr 1 2013,Kochi Kochi,/1
53,Masao Kida\kidama01,5,1999,2005,0,7,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,-0.35,Sep 12 1968,Apr 5 1999,Kokubunji Tokyo,1
54,Satoru Komiyama\komiysa01,1,2002,2002,0,22,3,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,-0.35,Sep 15 1965,Apr 4 2002,Kashiwa Chiba,/1
